[Log] 0.15468252867429563 (Obstacle-start-circular.html, line 124)
[Log] 0.1478285691158207 (Obstacle-start-circular.html, line 124)
[Log] 0.12831655295876823 (Obstacle-start-circular.html, line 124)
[Log] 0.16791420364711582 (Obstacle-start-circular.html, line 124)
[Log] 0.15958687018492973 (Obstacle-start-circular.html, line 124)
[Log] 0 (Obstacle-start-circular.html, line 124)
[Log] 0.13924962963156493 (Obstacle-start-circular.html, line 124)
[Log] 0.198845985515601 (Obstacle-start-circular.html, line 124)
[Log] 0.1544611259177311 (Obstacle-start-circular.html, line 124)
[Log] 0.16684967575122228 (Obstacle-start-circular.html, line 124)
[Log] 0.14920211478091933 (Obstacle-start-circular.html, line 124)
[Log] 0.1373184879764821 (Obstacle-start-circular.html, line 124)
[Log] 0.16244245983587596 (Obstacle-start-circular.html, line 124)
[Log] 0.16484418597470338 (Obstacle-start-circular.html, line 124)
[Log] 0.15318159628205044 (Obstacle-start-circular.html, line 124)
[Log] 0.13447133587589435 (Obstacle-start-circular.html, line 124)
[Log] 0 (Obstacle-start-circular.html, line 124)
[Log] 0.1291656487497009 (Obstacle-start-circular.html, line 124)
[Log] 0.1798491330065833 (Obstacle-start-circular.html, line 124)
[Log] 0.1824492536568202 (Obstacle-start-circular.html, line 124)
[Log] 0.13561709015427376 (Obstacle-start-circular.html, line 124)
[Log] 0.12565430804052122 (Obstacle-start-circular.html, line 124)
[Log] 0.17677282141301384 (Obstacle-start-circular.html, line 124)
[Log] 0.1353949581209081 (Obstacle-start-circular.html, line 124)
[Log] 0.17000471601981393 (Obstacle-start-circular.html, line 124)
[Log] 0.145827280598989 (Obstacle-start-circular.html, line 124)
[Log] 0.16957843784407353 (Obstacle-start-circular.html, line 124)
[Log] 0 (Obstacle-start-circular.html, line 124)
[Log] 0.1514367889963059 (Obstacle-start-circular.html, line 124)
[Log] 0.12462179931387982 (Obstacle-start-circular.html, line 124)
[Log] 0.19167315193399326 (Obstacle-start-circular.html, line 124)
[Log] 0.21640672761185065 (Obstacle-start-circular.html, line 124)
[Log] 0.16902059704607544 (Obstacle-start-circular.html, line 124)
[Log] 0.121175347483175 (Obstacle-start-circular.html, line 124)
[Log] 0.13771894083518182 (Obstacle-start-circular.html, line 124)
[Log] 0.13009126877383434 (Obstacle-start-circular.html, line 124)
[Log] 0.17525196208986646 (Obstacle-start-circular.html, line 124)
[Log] 0.15398751086403503 (Obstacle-start-circular.html, line 124)
[Log] 0 (Obstacle-start-circular.html, line 124)
[Log] 0.1071396450637846 (Obstacle-start-circular.html, line 124)
[Log] 0.1470350312284637 (Obstacle-start-circular.html, line 124)
[Log] 0.12350142718095339 (Obstacle-start-circular.html, line 124)
[Log] 0.14777868047526138 (Obstacle-start-circular.html, line 124)
[Log] 0.1815086712272159 (Obstacle-start-circular.html, line 124)
[Log] 0.11240684017856137 (Obstacle-start-circular.html, line 124)
